site_id,pollutant
site_103,PM25
site_105,PM25
site_108,PM25
site_109,PM25
site_113,PM25
site_114,PM25
site_115,PM25
site_117,PM25
site_118,PM25
site_119,PM25
site_122,PM25
site_125,PM25
site_136,PM25
site_1390,PM25
site_1391,PM25
site_1392,PM25
site_1393,PM25
site_1394,PM25
site_1395,PM25
site_1396,PM25
site_1397,PM25
site_1399,PM25
site_1400,PM25
site_1402,PM25
site_1404,PM25
site_1406,PM25
site_1416,PM25
site_1419,PM25
site_1420,PM25
site_1421,PM25
site_1422,PM25
site_1423,PM25
site_1424,PM25
site_1425,PM25
site_1426,PM25
site_1427,PM25
site_1428,PM25
site_1429,PM25
site_1430,PM25
site_1431,PM25
site_1432,PM25
site_1434,PM25
site_1435,PM25
site_1437,PM25
site_1438,PM25
site_1450,PM25
site_147,PM25
site_1541,PM25
site_1542,PM25
site_1549,PM25
site_1553,PM25
site_1554,PM25
site_1555,PM25
site_1557,PM25
site_1560,PM25
site_1561,PM25
site_1562,PM25
site_1563,PM25
site_161,PM25
site_251,PM25
site_253,PM25
site_256,PM25
site_258,PM25
site_260,PM25
site_262,PM25
site_274,PM25
site_276,PM25
site_277,PM25
site_293,PM25
site_294,PM25
site_297,PM25
site_301,PM25
site_304,PM25
site_306,PM25
site_307,PM25
site_308,PM25
site_309,PM25
site_5024,PM25
site_5025,PM25
site_5039,PM25
site_5040,PM25
site_5043,PM25
site_5044,PM25
site_5045,PM25
site_5049,PM25
site_5050,PM25
site_5051,PM25
site_5052,PM25
site_5053,PM25
site_5056,PM25
site_5060,PM25
site_5067,PM25
site_5073,PM25
site_5082,PM25
site_103,PM10
site_105,PM10
site_108,PM10
site_109,PM10
site_111,PM10
site_118,PM10
site_119,PM10
site_122,PM10
site_124,PM10
site_125,PM10
site_1390,PM10
site_1391,PM10
site_1392,PM10
site_1393,PM10
site_1394,PM10
site_1395,PM10
site_1396,PM10
site_1397,PM10
site_1399,PM10
site_1400,PM10
site_1402,PM10
site_1404,PM10
site_1406,PM10
site_1416,PM10
site_1419,PM10
site_1420,PM10
site_1421,PM10
site_1422,PM10
site_1423,PM10
site_1424,PM10
site_1425,PM10
site_1426,PM10
site_1427,PM10
site_1428,PM10
site_1429,PM10
site_1430,PM10
site_1431,PM10
site_1432,PM10
site_1433,PM10
site_1435,PM10
site_1437,PM10
site_1438,PM10
site_1450,PM10
site_1538,PM10
site_1541,PM10
site_1542,PM10
site_1549,PM10
site_1553,PM10
site_1554,PM10
site_1555,PM10
site_1557,PM10
site_1560,PM10
site_1561,PM10
site_1562,PM10
site_1563,PM10
site_251,PM10
site_252,PM10
site_253,PM10
site_256,PM10
site_258,PM10
site_260,PM10
site_262,PM10
site_274,PM10
site_301,PM10
site_304,PM10
site_309,PM10
site_5024,PM10
site_5025,PM10
site_5039,PM10
site_5040,PM10
site_5042,PM10
site_5043,PM10
site_5045,PM10
site_5049,PM10
site_5050,PM10
site_5051,PM10
site_5052,PM10
site_5053,PM10
site_5056,PM10
site_5060,PM10
site_5065,PM10
site_5067,PM10
site_5073,PM10
site_103,NO2
site_105,NO2
site_107,NO2
site_108,NO2
site_109,NO2
site_111,NO2
site_113,NO2
site_115,NO2
site_117,NO2
site_122,NO2
site_124,NO2
site_125,NO2
site_136,NO2
site_1390,NO2
site_1391,NO2
site_1392,NO2
site_1393,NO2
site_1394,NO2
site_1395,NO2
site_1396,NO2
site_1397,NO2
site_1399,NO2
site_1402,NO2
site_1404,NO2
site_1416,NO2
site_1419,NO2
site_1420,NO2
site_1421,NO2
site_1422,NO2
site_1423,NO2
site_1424,NO2
site_1425,NO2
site_1426,NO2
site_1428,NO2
site_1429,NO2
site_1430,NO2
site_1431,NO2
site_1432,NO2
site_1434,NO2
site_1435,NO2
site_1437,NO2
site_1438,NO2
site_1450,NO2
site_1555,NO2
site_1557,NO2
site_1560,NO2
site_1561,NO2
site_1562,NO2
