Count of site_id,site_id,site_name,NO_flag,NO2_flag,NOx_flag,Ozone_flag,PM10_flag,PM2.5_flag
5,site_103,CRRI Mathura Road Delhi,1,1,1,1,1,1
5,site_105,North Campus DU Delhi,1,1,1,1,1,1
4,site_106,IGI Airport (T3) Delhi,1,1,1,1,1,1
4,site_107,Pusa Delhi,1,1,1,1,1,1
5,site_108,Aya Nagar Delhi,1,1,1,1,1,1
5,site_109,Lodhi Road Delhi,1,1,1,1,1,1
4,site_111,Sector 62 Noida,1,1,1,1,1,1
3,site_113,Shadipur Delhi,1,1,1,1,1,1
3,site_115,NSIT Dwarka Delhi,1,1,1,1,1,1
4,site_117,ITO Delhi,1,1,1,1,1,1
4,site_118,DTU Delhi,1,1,1,1,1,1
3,site_119,Sirifort Delhi,1,1,1,1,1,1
5,site_122,Mandir Marg Delhi,1,1,1,1,1,1
4,site_124,R K Puram Delhi,1,1,1,1,1,1
5,site_125,Punjabi Bagh Delhi,1,1,1,1,1,1
4,site_136,Collectorate Jodhpur,1,1,1,1,1,1
5,site_1390,Moti Doongri Alwar,1,1,1,1,1,1
5,site_1391,RIICO Ind. Area III Bhiwadi,1,1,1,1,1,1
5,site_1392,Civil Lines  Ajmer,1,1,1,1,1,1
5,site_1393,Adarsh Nagar Jaipur,1,1,1,1,1,1
5,site_1394,Shrinath Puram Kota,1,1,1,1,1,1
5,site_1395,Indira Colony Vistar Pali,1,1,1,1,1,1
5,site_1396,Shastri Nagar Jaipur,1,1,1,1,1,1
5,site_1397,Ashok Nagar Udaipur,1,1,1,1,1,1
5,site_1399,Anand Kala Kshetram Rajamahendravaram,1,1,1,1,1,1
5,site_1402,Sector-2 Industrial Area Pithampur,1,1,1,1,1,1
3,site_1403,Sector-D Industrial Area Mandideep,1,1,1,1,1,1
5,site_1404,Bhopal Chauraha Dewas,1,1,1,1,1,1
4,site_1406,Secretariat Amaravati,1,1,1,1,1,1
5,site_1416,Padmapukur Howrah,1,1,1,1,1,1
3,site_1418,Asansol Court Area Asansol,1,1,1,1,1,1
5,site_1419,Ward-32 Bapupara Siliguri,1,1,1,1,1,1
5,site_1420,Ashok Vihar Delhi,1,1,1,1,1,1
5,site_1421,Dr. Karni Singh Shooting Range Delhi,1,1,1,1,1,1
5,site_1422,Dwarka-Sector 8 Delhi DPCC,1,1,1,1,1,1
5,site_1423,Jahangirpuri Delhi,1,1,1,1,1,1
5,site_1424,Jawaharlal Nehru Stadium Delhi,1,1,1,1,1,1
5,site_1425,Major Dhyan Chand National Stadium Delhi,1,1,1,1,1,1
5,site_1426,Narela Delhi,1,1,1,1,1,1
4,site_1427,Najafgarh Delhi,1,1,1,1,1,1
5,site_1428,Okhla Phase-2 Delhi,1,1,1,1,1,1
5,site_1429,Nehru Nagar Delhi,1,1,1,1,1,1
5,site_1430,Rohini Delhi,1,1,1,1,1,1
5,site_1431,Patparganj Delhi,1,1,1,1,1,1
5,site_1432,Sonia Vihar Delhi,1,1,1,1,1,1
4,site_1434,Wazirpur Delhi,1,1,1,1,1,1
5,site_1435,Vivek Vihar Delhi,1,1,1,1,1,1
5,site_1437,Model Town Patiala,1,1,1,1,1,1
5,site_1438,Civil Line Jalandhar,1,1,1,1,1,1
5,site_1450,Kalal Majra Khanna,1,1,1,1,1,1
4,site_1541,Knowledge Park III Greater Noida,1,1,1,1,1,1
4,site_1542,Yamunapuram Bulandshahr,1,1,1,1,1,1
3,site_1553,Bapuji Nagar Bengaluru,1,1,1,1,1,1
5,site_1555,Hombegowda Nagar Bengaluru,1,1,1,1,1,1
5,site_1557,Chikkaballapur Rural Chikkaballapur,1,1,1,1,1,1
5,site_1560,Bawana Delhi,1,1,1,1,1,1
5,site_1561,Mundka Delhi,1,1,1,1,1,1
5,site_1562,Sri Aurobindo Marg Delhi,1,1,1,1,1,1
5,site_1563,Pusa Delhi,1,1,1,1,1,1
