site_id,year,pollutant,Pollutant_Uncleaned,Pollutant_Cleaned,Percentage_change,compliance_change
site_103,2019,Ozone,31.77055704,31.57890105,-0.6033,FALSE
site_105,2019,Ozone,29.96427605,28.82260273,-3.8101,FALSE
site_106,2019,Ozone,21.76348526,21.47868713,-1.3086,FALSE
site_107,2019,Ozone,29.4414297,29.24068202,-0.6819,FALSE
site_108,2019,Ozone,39.82038092,40.27835046,1.1501,FALSE
site_109,2019,Ozone,29.21165843,29.44034013,0.7828,FALSE
site_111,2019,Ozone,35.72450461,34.50775511,-3.4059,FALSE
site_113,2019,Ozone,29.22750741,29.13857199,-0.3043,FALSE
site_114,2019,Ozone,,,,FALSE
site_115,2019,Ozone,32.04726711,31.96172474,-0.2669,FALSE
site_117,2019,Ozone,21.76771054,21.76789579,0.0009,FALSE
site_118,2019,Ozone,45.55709341,45.3292625,-0.5001,FALSE
site_119,2019,Ozone,44.51712188,44.60681786,0.2015,FALSE
site_122,2019,Ozone,16.95175193,16.86353822,-0.5204,FALSE
site_124,2019,Ozone,37.31474618,36.88637835,-1.148,FALSE
site_125,2019,Ozone,24.25986429,24.24019089,-0.0811,FALSE
site_136,2019,Ozone,41.37465612,41.15662721,-0.527,FALSE
site_1390,2019,Ozone,44.21223868,44.37472972,0.3675,FALSE
site_1391,2019,Ozone,28.73896198,28.42134381,-1.1052,FALSE
site_1392,2019,Ozone,41.50634125,41.68843209,0.4387,FALSE
site_1393,2019,Ozone,50.85879371,51.22708085,0.7241,FALSE
site_1394,2019,Ozone,29.76748766,29.84698905,0.2671,FALSE
site_1395,2019,Ozone,38.02221859,38.31616129,0.7731,FALSE
site_1396,2019,Ozone,44.1166511,44.25144224,0.3055,FALSE
site_1397,2019,Ozone,36.11679452,35.67210426,-1.2313,FALSE
site_1399,2019,Ozone,51.52073115,51.54274334,0.0427,FALSE
site_1400,2019,Ozone,71.09311811,71.36834964,0.3871,FALSE
site_1401,2019,Ozone,37.05986723,37.36585286,0.8257,FALSE
site_1402,2019,Ozone,21.98495806,21.80614294,-0.8134,FALSE
site_1403,2019,Ozone,41.53256278,43.28386958,4.2167,FALSE
site_1404,2019,Ozone,49.91557265,50.47769763,1.1262,FALSE
site_1406,2019,Ozone,36.21125368,35.9377928,-0.7552,FALSE
site_1408,2019,Ozone,7.754369636,7.392073576,-4.6722,FALSE
site_1416,2019,Ozone,32.07745197,32.0854519,0.0249,FALSE
site_1418,2019,Ozone,20.59732245,20.56257351,-0.1687,FALSE
site_1419,2019,Ozone,29.11784506,29.39131025,0.9392,FALSE
site_1420,2019,Ozone,36.7163902,36.49937649,-0.5911,FALSE
site_1421,2019,Ozone,19.63428884,19.38804181,-1.2542,FALSE
site_1422,2019,Ozone,39.14677444,40.09008434,2.4097,FALSE
site_1423,2019,Ozone,36.62894478,36.62270114,-0.017,FALSE
site_1424,2019,Ozone,35.1193721,35.52557994,1.1566,FALSE
site_1425,2019,Ozone,26.4890088,26.44619578,-0.1616,FALSE
site_1426,2019,Ozone,40.04405153,40.29506445,0.6268,FALSE
site_1427,2019,Ozone,49.42006354,49.64521102,0.4556,FALSE
site_1428,2019,Ozone,27.33471139,27.59594886,0.9557,FALSE
site_1429,2019,Ozone,38.94565128,39.1463433,0.5153,FALSE
site_1430,2019,Ozone,33.51363706,33.30285744,-0.6289,FALSE
site_1431,2019,Ozone,23.11978005,23.16293179,0.1866,FALSE
site_1432,2019,Ozone,40.2272579,40.06483968,-0.4038,FALSE
site_1433,2019,Ozone,,,,FALSE
site_1434,2019,Ozone,27.60407587,27.18035608,-1.535,FALSE
