site_id,site_name,timestamp,NO (µg/m³),NO_percentage,NO_flag,NO2 (µg/m³),NO2_flag,NO2_percentage,NOx (ppb),NOx_flag,NOx_percentage,original_40,Ozone (µg/m³),Ozone_flag,Ozone_percentage,PM10 (µg/m³),PM10_flag,PM10_percentage,PM2.5 (µg/m³),PM2.5_flag,PM25_percentage,year
site_1403,Sector-D Industrial Area Mandideep,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1416,Padmapukur Howrah,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1418,Asansol Court Area Asansol,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1420,Ashok Vihar Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1423,Jahangirpuri Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1424,Jawaharlal Nehru Stadium Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1425,Major Dhyan Chand National Stadium Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1426,Narela Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1427,Najafgarh Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1428,Okhla Phase-2 Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1429,Nehru Nagar Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1430,Rohini Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1431,Patparganj Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1432,Sonia Vihar Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1433,Bandhavgar Colony Satna Birla,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1434,Wazirpur Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1435,Vivek Vihar Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1438,Civil Line Jalandhar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1538,Ratanpura Rupnagar Ambuja,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1542,Yamunapuram Bulandshahr,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1549,Hardev Nagar Bathinda,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1550,New Mandi Muzaffarnagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1558,Silk Board Bengaluru,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1560,Bawana Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1561,Mundka Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1562,Sri Aurobindo Marg Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_1569,New Collectorate Baghpat,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5023,Anand Vihar Hapur,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5024,Alipur Delhi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5039,Sector-2 IMT Manesar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5041,Murthal Sonipat,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5043,Sector-7 Kurukshetra,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5044,Municipal Corporation Office Dharuhera,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5046,Gobind Pura Yamuna Nagar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5047,H.B. Colony Bhiwani,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5048,Sector-18 Panipat,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5049,Sector-12 Karnal,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5050,Shyam Nagar Palwal,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5051,F-Block Sirsa,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5052,Patti Mehar Ambala,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5053,Shastri Nagar Narnaul,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5054,Huda Sector Fatehabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5055,General Hospital Mandikhera,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5056,Police Lines Jind,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5057,Urban Estate-II Hisar,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5060,Nathu Colony Ballabgarh,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5067,Phase-4 GIDC Vatva,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5071,Phase-1 GIDC Vapi,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5072,Rishi Nagar Kaithal,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5073,Railway Colony Guwahati,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5081,Sanjay Nagar Ghaziabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5082,Indirapuram Ghaziabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5083,Loni Ghaziabad,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5092,Manali Village Chennai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5094,SIDCO Kurichi Coimbatore,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5102,Vasai West Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5103,Nerul Navi Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5104,Kurla Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5106,Vile Parle West Mumbai,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5109,Jai Bhim Nagar Meerut,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5110,Fort William Kolkata,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
site_5111,Jadavpur Kolkata,35040,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2017
